computer,human,lower
8,5,5
1,5,1
1,1,1
1,2,1
1,1,1
1,1,1
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
7,8,7
8,7,7
1,1,1
1,1,1
1,1,1
1,1,1
1,8,1
8,7,7
1,1,1
1,8,1
8,7,7
1,1,1
1,8,1
8,7,7
1,1,1
1,8,1
1,7,1
1,6,1
1,8,1
8,8,8
8,8,8
8,8,8
7,7,7
7,1,1
1,1,1
1,5,1
1,5,1
1,5,1
5,5,5
5,4,4
1,1,1
1,8,1
1,8,1
1,7,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,6,6
1,1,1
1,1,1
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
7,8,7
7,6,6
1,1,1
1,8,1
1,8,1
1,7,1
7,7,7
7,7,7
7,6,6
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
7,8,7
8,6,6
1,1,1
1,8,1
1,8,1
7,8,7
7,6,6
1,1,1
1,8,1
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,6,6
1,1,1
1,8,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
7,6,6
1,1,1
1,8,1
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
7,8,7
8,6,6
1,1,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
7,6,6
1,1,1
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
7,8,7
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
7,7,7
7,7,7
7,6,6
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
7,8,7
8,6,6
1,1,1
1,8,1
7,8,7
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
7,7,7
6,7,6
7,6,6
1,1,1
1,8,1
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
6,7,6
7,6,6
1,1,1
1,8,1
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
7,8,7
8,7,7
1,1,1
1,8,1
1,8,1
7,8,7
7,8,7
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,1,1
1,8,1
7,8,7
8,8,8
8,8,8
7,8,7
7,7,7
7,7,7
6,7,6
7,6,6
1,8,1
1,8,1
7,8,7
8,7,7
1,8,1
1,8,1
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
7,8,7
7,7,7
7,7,7
6,7,6
7,6,6
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
7,8,7
7,8,7
7,8,7
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
8,8,8
8,8,8
8,8,8
8,8,8
7,8,7
8,7,7
1,8,1
1,8,1
