human_score1-500,human_score1-250,human_score251-500,computer_score1-500, computer_score1-250, computer_score251-500,,对应合谋程度,human1-500,human1-250,human251-500,computer1-500,computer1-250,computer251-500
15.944,9.504,22.384,18.804,6.368,31.24,,,0.425904762,0.119238095,0.732571429,0.562095238,-0.030095238,1.154285714
18.124,15.708,20.54,24.484,16.668,32.3,,,0.529714286,0.414666667,0.644761905,0.832571429,0.460380952,1.204761905
5.652,6.324,4.98,3.56,4.372,2.748,,,-0.064190476,-0.032190476,-0.096190476,-0.163809524,-0.125142857,-0.20247619
11.454,15.544,7.364,9.666,14.008,5.324,,,0.212095238,0.406857143,0.017333333,0.126952381,0.333714286,-0.079809524
8.428,11.04,5.816,7.608,9.232,5.984,,,0.068,0.192380952,-0.056380952,0.028952381,0.106285714,-0.048380952
20.862,19.632,22.092,29.05,27.592,30.508,,,0.660095238,0.60152381,0.718666667,1.05,0.980571429,1.119428571
19.962,17.536,22.388,25.434,19.976,30.892,,,0.617238095,0.501714286,0.732761905,0.877809524,0.617904762,1.137714286
9.174,4.8,13.548,9.706,3.16,16.252,,,0.10352381,-0.104761905,0.311809524,0.128857143,-0.182857143,0.440571429
15.084,9.456,20.712,14.116,6.472,21.76,,,0.384952381,0.116952381,0.652952381,0.338857143,-0.025142857,0.702857143
18.18,16.076,20.284,17.568,13.556,21.58,,,0.532380952,0.432190476,0.632571429,0.503238095,0.312190476,0.694285714
6.872,5.208,8.536,8.156,7.192,9.12,,,-0.006095238,-0.085333333,0.073142857,0.055047619,0.009142857,0.100952381
16.848,13.112,20.584,21.328,13.624,29.032,,,0.468952381,0.291047619,0.646857143,0.682285714,0.315428571,1.049142857
20.728,19.8,17.256,26.632,25.528,23.336,,,0.653714286,0.60952381,0.488380952,0.934857143,0.882285714,0.777904762
18.866,18.448,19.284,21.562,24.064,19.06,,,0.565047619,0.545142857,0.584952381,0.693428571,0.812571429,0.574285714
17.882,15.976,19.788,21.586,16.392,26.78,,,0.518190476,0.427428571,0.608952381,0.694571429,0.447238095,0.941904762
20.104,20.128,20.08,19.936,20.52,19.352,,,0.624,0.625142857,0.622857143,0.616,0.643809524,0.588190476
18.296,15.88,20.712,22.284,15.616,28.952,,,0.537904762,0.422857143,0.652952381,0.727809524,0.410285714,1.045333333
19.58,16.092,23.068,28.368,24.18,32.556,,,0.599047619,0.432952381,0.765142857,1.01752381,0.818095238,1.216952381
22.59,21.796,23.384,31.45,30.86,32.04,,,0.742380952,0.704571429,0.780190476,1.164285714,1.136190476,1.192380952
5.484,6.512,4.456,2.868,2.36,3.376,,,-0.072190476,-0.023238095,-0.121142857,-0.196761905,-0.220952381,-0.172571429
,,,,,,,,,,,,,
18.003,15.794,20.182,20.632,14.812,22.548,<-中位数,标准差->,0.263851735,0.254953167,0.318639452,0.414086572,0.40976407,0.504026746
15.5057,13.9286,16.8628,18.2083,15.087,21.1096,<-平均值,平均值->,0.405033333,0.329933333,0.469657143,0.533728571,0.385095238,0.671885714
5.54088643,5.354016499,6.691428497,8.695818022,8.60504546,10.58456166,<-标准差,,,,,,,
30.70142243,28.66549267,44.77521533,75.61725107,74.04680737,112.0329455,<-方差,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
2.86,-3.136,8.856,8.944,2.504,15.384,11.804,-0.632,24.24,,,,,
6.36,0.96,11.76,11.124,8.708,13.54,17.484,9.668,25.3,,,,,
-2.092,-1.952,-2.232,-1.348,-0.676,-2.02,-3.44,-2.628,-4.252,,,,,
-1.788,-1.536,-2.04,4.454,8.544,0.364,2.666,7.008,-1.676,,,,,
-0.82,-1.808,0.168,1.428,4.04,-1.184,0.608,2.232,-1.016,,,,,
8.188,7.96,8.416,13.862,12.632,15.092,22.05,20.592,23.508,,,,,
5.472,2.44,8.504,12.962,10.536,15.388,18.434,12.976,23.892,,,,,
0.532,-1.64,2.704,2.174,-2.2,6.548,2.706,-3.84,9.252,,,,,
-0.968,-2.984,1.048,8.084,2.456,13.712,7.116,-0.528,14.76,,,,,
-0.612,-2.52,1.296,11.18,9.076,13.284,10.568,6.556,14.58,,,,,
1.284,1.984,0.584,-0.128,-1.792,1.536,1.156,0.192,2.12,,,,,
4.48,0.512,8.448,9.848,6.112,13.584,14.328,6.624,22.032,,,,,
5.904,5.728,6.08,13.728,12.8,10.256,19.632,18.528,16.336,,,,,
2.696,5.616,-0.224,11.866,11.448,12.284,14.562,17.064,12.06,,,,,
3.704,0.416,6.992,10.882,8.976,12.788,14.586,9.392,19.78,,,,,
-0.168,0.392,-0.728,13.104,13.128,13.08,12.936,13.52,12.352,,,,,
3.988,-0.264,8.24,11.296,8.88,13.712,15.284,8.616,21.952,,,,,
8.788,8.088,9.488,12.58,9.092,16.068,21.368,17.18,25.556,,,,,
8.86,9.064,8.656,15.59,14.796,16.384,24.45,23.86,25.04,,,,,
-2.616,-4.152,-1.08,-1.516,-0.488,-2.544,-4.132,-4.64,-3.624,,,,,
2.7026,1.1584,4.2468,8.5057,6.9286,9.8628,11.2083,8.087,14.1096,,,,,
13.97070867,16.54586341,21.60975006,30.70142243,28.66549267,44.77521533,75.61725106,74.04680737,112.0329455,,,,,
3.151732533,1.241339663,3.982114443,6.69125549,5.640824459,6.424778883,5.618315253,4.096482223,5.810568497,,,,,
