human_price1-500,human_price1-250,human_price251-500,computer_price1-500, computer_price1-250, computer_price251-500,,对应合谋程度,human1-500,human1-250,human251-500,computer1-500,computer1-250,computer251-500
7.266,6.54,7.992,5.268,2.96,7.576,,,0.877666667,0.756666667,0.998666667,0.544666667,0.16,0.929333333
7.498,7.16,7.836,6.136,4.872,7.4,,,0.916333333,0.86,0.972666667,0.689333333,0.478666667,0.9
6.608,5.388,7.828,2.164,2.368,1.96,,,0.768,0.564666667,0.971333333,0.027333333,0.061333333,-0.006666667
6.734,6.632,6.836,3.376,4.324,2.428,,,0.789,0.772,0.806,0.229333333,0.387333333,0.071333333
6.36,6.072,6.648,2.95,3.496,2.404,,,0.726666667,0.678666667,0.774666667,0.158333333,0.249333333,0.067333333
6.902,6.488,7.316,6.544,6.02,7.068,,,0.817,0.748,0.886,0.757333333,0.67,0.844666667
6.544,5.744,7.344,5.934,4.78,7.088,,,0.757333333,0.624,0.890666667,0.655666667,0.463333333,0.848
6.288,5.668,6.908,3.098,1.908,4.288,,,0.714666667,0.611333333,0.818,0.183,-0.015333333,0.381333333
7.178,6.752,7.604,4.532,2.948,6.116,,,0.863,0.792,0.934,0.422,0.158,0.686
6.936,6.456,7.416,5.384,4.664,6.104,,,0.822666667,0.742666667,0.902666667,0.564,0.444,0.684
4.874,4.1,5.648,2.698,2.408,2.988,,,0.479,0.35,0.608,0.116333333,0.068,0.164666667
6.276,5.428,7.124,5.33,4.02,6.64,,,0.712666667,0.571333333,0.854,0.555,0.336666667,0.773333333
7.164,6.568,7.76,6.492,5.928,7.056,,,0.860666667,0.761333333,0.96,0.748666667,0.654666667,0.842666667
7.784,7.908,7.66,5.924,6.196,5.652,,,0.964,0.984666667,0.943333333,0.654,0.699333333,0.608666667
6.208,6.464,5.952,4.998,4.396,5.6,,,0.701333333,0.744,0.658666667,0.499666667,0.399333333,0.6
7.622,7.448,7.796,5.924,5.996,5.852,,,0.937,0.908,0.966,0.654,0.666,0.642
7.396,6.884,7.908,5.992,4.916,7.068,,,0.899333333,0.814,0.984666667,0.665333333,0.486,0.844666667
6.99,5.988,7.992,6.562,5.308,7.816,,,0.831666667,0.664666667,0.998666667,0.760333333,0.551333333,0.969333333
7.88,7.776,7.984,7.61,7.412,7.808,,,0.98,0.962666667,0.997333333,0.935,0.902,0.968
6.078,6.192,5.964,2.016,2.148,1.884,,,0.679666667,0.698666667,0.660666667,0.002666667,0.024666667,-0.019333333
,,,,,,,,,,,,,
6.919,6.476,7.51,5.357,4.53,6.11,<-中位数,标准差->,0.118540258,0.147384067,0.12212207,0.275485814,0.258810529,0.348447617
6.8293,6.3828,7.2758,4.9466,4.3534,5.5398,<-平均值,平均值->,0.804883333,0.730466667,0.8793,0.4911,0.392233333,0.589966667
0.711241546,0.884304401,0.73273242,1.652914886,1.552863176,2.0906857,<-标准差,,,,,,,
